"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2013",4.1,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2014",4.1,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2015",4.3,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2016",4.5,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2017",4.7,
"HUN","AIREMISSION","CO2","TONNE_CAP","A","2018",4.7,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2002",7.7,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2003",7.6,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2004",7.7,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2005",7.6,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2006",7.5,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2007",7.5,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2008",6.7,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2009",6.5,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2010",6.1,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2011",5.9,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2012",5.8,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2013",6.3,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2014",6.3,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2015",6.2,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2016",6.2,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2017",6.3,
"ISL","AIREMISSION","CO2","TONNE_CAP","A","2018",5.8,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2002",10.7,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2003",10.5,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2004",10.5,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2005",10.7,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2006",10.6,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2007",10.1,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2008",9.8,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2009",8.7,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2010",8.7,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2011",7.7,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2012",7.8,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2013",7.5,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.3,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2015",7.5,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2016",7.8,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.4,
"IRL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.1,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2002",7.5,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2003",7.8,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2004",7.9,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2005",7.8,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2006",7.7,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2007",7.5,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2008",7.2,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2009",6.4,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2010",6.6,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2011",6.4,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2012",6.1,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2013",5.6,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2014",5.3,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2015",5.4,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2016",5.4,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2017",5.3,
"ITA","AIREMISSION","CO2","TONNE_CAP","A","2018",5.2,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2002",9.1,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2003",9.2,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2004",9.1,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2005",9.1,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2006",9,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2007",9.3,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2008",8.8,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2009",8.4,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2010",8.8,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2011",9.3,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2012",9.6,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2013",9.7,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2014",9.4,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2015",9.1,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2016",9,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2017",8.9,
"JPN","AIREMISSION","CO2","TONNE_CAP","A","2018",8.7,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2002",9.1,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2003",9.1,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2004",9.6,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2005",9.5,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2006",9.6,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2007",9.8,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2008",10,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2009",10.2,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2010",11.1,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2011",11.5,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2012",11.5,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2013",11.4,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2014",11.1,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2015",11.4,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2016",11.5,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2017",11.7,
"KOR","AIREMISSION","CO2","TONNE_CAP","A","2018",12.1,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2002",21,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2003",21.8,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2004",24.5,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2005",24.7,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2006",23.9,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2007",22.3,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2008",21.8,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2009",20.3,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2010",21,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2011",20.3,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2012",19.4,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2013",17.9,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2014",16.6,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2015",15.5,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2016",14.6,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2017",14.5,
"LUX","AIREMISSION","CO2","TONNE_CAP","A","2018",14.8,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2002",3.6,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2003",3.7,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2004",3.7,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2005",3.9,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2006",3.9,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2007",4,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2008",3.9,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2009",3.8,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2010",3.9,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2011",4,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2012",3.9,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2013",3.8,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2014",3.6,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2015",3.7,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2016",3.7,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2017",3.6,
"MEX","AIREMISSION","CO2","TONNE_CAP","A","2018",3.5,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2002",10.3,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2003",10.5,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2004",10.5,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2005",10.3,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2006",10,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2007",10,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2008",10,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2009",9.7,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2010",10.3,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2011",9.5,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2012",9.4,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2013",9.3,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2014",8.9,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2015",9.3,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2016",9.3,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2017",9.1,
"NLD","AIREMISSION","CO2","TONNE_CAP","A","2018",8.6,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2002",7.8,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2003",8.2,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2004",7.9,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2005",8.1,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2006",8,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2007",7.7,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2008",7.8,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2009",7.1,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2010",7,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2011",6.7,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2012",7.1,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2013",6.9,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2014",6.9,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2015",6.7,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2016",6.4,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2017",6.7,
"NZL","AIREMISSION","CO2","TONNE_CAP","A","2018",6.2,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2002",7.2,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2003",7.7,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2004",7.8,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2005",7.5,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2006",7.6,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2007",7.7,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2008",7.4,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2009",7.4,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2010",7.6,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2011",7.3,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2012",7.2,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2013",7,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2014",6.9,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2015",6.9,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2016",6.7,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2017",6.6,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2018",7,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2002",7.4,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2003",7.7,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2004",7.8,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2005",7.8,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2006",8.1,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2007",8,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2008",7.9,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2009",7.6,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2010",8,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2011",7.9,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2012",7.7,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2013",7.6,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.3,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2015",7.4,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2016",7.6,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2017",8,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2018",8.1,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2002",5.9,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2003",5.4,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2004",5.5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2005",5.8,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2006",5.4,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2007",5.2,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2008",5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2009",5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2010",4.5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2011",4.5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2012",4.3,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2013",4.2,
